OGC_FID,GEOMETRY,id,name,beschr,datierung,quelle,bz,ez,klassen,typ,lageq,zs1,zs2,zs3,zs4,bewertung,chronocode,texte,plan,ag,nuts3,nuts0,nr_ag,x,y
379,,,,,sha/flt,"Sicherl 1999, Nr. 33",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,866317.372360,5491984.827896
380,,,,,sha/flt,"Sicherl 1999, Nr. 6",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,860591.676270,5500458.858110
381,,,,,sha/flt,"Sicherl 1999, Nr. 25",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,878455.848071,5508016.776949
382,,,,,sha/flt,"Sicherl 1999, Nr. 19",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,877539.736696,5513971.500883
383,,,,,sha/flt,"Sicherl 1999, Nr. 14",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,854407.924492,5535271.090338
384,,,,,sha/flt,"Sicherl 1999, Nr. 17",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,772415.956481,5495649.273394
385,,,,,sha/flt,"Sicherl 1999, Nr. 62",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,776309.429822,5496565.384769
386,,,,,sha/flt,"Sicherl 1999, Nr. 55",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,783180.265131,5501833.025171
387,,,,,sha/flt,"Sicherl 1999, Nr. 15",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,786386.654941,5497252.468299
388,,,,,sha/flt,"Sicherl 1999, Nr. 70",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,826237.499729,5492671.911427
389,,,,,sha/flt,"Sicherl 1999, Nr. 32",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,829901.945226,5512139.278134
390,,,,,sha/flt,"Sicherl 1999, Nr. 43",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,818679.580890,5513055.389508
391,,,,,sha/flt,"Sicherl 1999, Nr. 45",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,819595.692264,5521529.419722
392,,,,,sha/flt,"Sicherl 1999, Nr. 44",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,815473.191079,5516261.779319
393,,,,,sha/flt,"Sicherl 1999, Nr. 46",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,797150.963591,5521987.475409
394,,,,,sha/flt,"Sicherl 1999, Nr. 63",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,786615.682785,5521529.419722
395,,,,,sha/flt,"Sicherl 1999, Nr. 28",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,797838.047121,5527484.143655
396,,,,,sha/flt,"Sicherl 1999, Nr. 27",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,800815.409088,5526568.032281
397,,,,,sha/flt,"Sicherl 1999, Nr. 39",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,789593.044752,5534354.978964
398,,,,,sha/flt,"Sicherl 1999, Nr. 35",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,798983.186339,5543516.092708
399,,,,,sha/flt,"Sicherl 1999, Nr. 71",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,802647.631837,5557028.735481
400,,,,,sha/flt,"Sicherl 1999, Nr. 42",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,812037.773425,5542141.925646
401,,,,,sha/flt,"Sicherl 1999, Nr. 37",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,827382.638947,5532064.700528
402,,,,,sha/flt,"Sicherl 1999, Nr. 10",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,822344.026387,5540538.730741
403,,,,,sha/flt,"Sicherl 1999, Nr. 23",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,865172.233142,5543516.092708
405,,,,,sha/flt,"Sicherl 1999, Nr. 5",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,848224.172715,5550615.955860
406,,,,,sha/flt,"Sicherl 1999, Nr. 60",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,913039.052455,5473433.572564
407,,,,,sha/flt,"Sicherl 1999, Nr. 30",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,920825.999138,5514429.556570
408,,,,,sha/flt,"Sicherl 1999, Nr. 9",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,889449.184564,5548096.649580
409,,,,,sha/flt,"Sicherl 1999, Nr. 58",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,959302.676864,5550386.928016
410,,,,,sha/flt,"Sicherl 1999, Nr. 7",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,955409.203523,5554738.457045
411,,,,,sha/flt,"Sicherl 1999, Nr. 38",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,943957.811342,5573060.684533
412,,,,,sha/flt,"Sicherl 1999, Nr. 22",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,952202.813712,5587031.382993
413,,,,,sha/flt,"Sicherl 1999, Nr. 1",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,910748.774019,5558402.902542
414,,,,,sha/flt,"Sicherl 1999, Nr. 12",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,915558.358735,5562296.375884
415,,,,,sha/flt,"Sicherl 1999, Nr. 49",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,924948.500323,5570083.322566
416,,,,,sha/flt,"Sicherl 1999, Nr. 51",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,894029.741436,5558631.930386
417,,,,,sha/flt,"Sicherl 1999, Nr. 50",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,892197.518687,5566876.932756
418,,,,,sha/flt,"Sicherl 1999, Nr. 5",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,888762.101033,5568251.099817
419,,,,,sha/flt,"Sicherl 1999, Nr. 31",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,866317.372360,5563212.487258
420,,,,,sha/flt,"Sicherl 1999, Nr. 24",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,876394.597478,5579015.408467
421,,,,,sha/flt,"Sicherl 1999, Nr. 26",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,840437.226032,5569625.266879
422,,,,,sha/flt,"Sicherl 1999, Nr. 40",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,853033.757431,5592069.995552
423,,,,,sha/flt,"Sicherl 1999, Nr. 11",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,836772.780534,5575579.990813
424,,,,,sha/flt,"Sicherl 1999, Nr. 66",0,3,,,1,0.000000,0.000000,0.000000,0.000000,0,,,,0,,,0,831276.112288,5578557.352780
